Date,AAPL,MSFT,NVDA,AMZN,TSLA
3/18/2024,171.8465729,409.3526611,88.30219269,174.4799957,173.8000031
3/19/2024,174.1811371,413.364502,89.24356842,175.8999939,171.3200073
3/20/2024,176.7431946,417.1116028,90.21587372,178.1499939,175.6600037
3/21/2024,169.5218964,421.1725769,91.27703857,178.1499939,172.8200073
3/22/2024,170.4221039,420.5545654,94.12612152,178.8699951,170.8300018
3/25/2024,169.0075378,414.7868042,94.83789063,179.7100067,172.6300049
3/26/2024,167.879837,413.5999146,92.40110016,178.3000031,177.6699982
3/27/2024,171.4409943,413.3841553,90.09410095,179.8300018,179.8300018
3/28/2024,169.630722,412.6877136,90.19992828,180.3800049,175.7899933
4/1/2024,168.1963806,416.4642334,90.20690155,180.9700012,175.2200012
4/2/2024,167.0192108,413.3939819,89.29747772,180.6900024,166.6300049
4/3/2024,167.8204803,412.4228516,88.81031799,182.4100037,168.3800049
4/4/2024,166.9994202,409.9019165,85.7565918,180,171.1100006
4/5/2024,167.7512207,417.3960876,87.85597992,185.0700073,164.8999939
4/8/2024,166.6334381,416.4837952,86.98247528,185.1900024,172.9799957
4/9/2024,167.8402557,418.141571,85.2065506,185.6699982,176.8800049
4/10/2024,165.9706573,415.1792297,86.88864899,185.9499969,171.7599945
4/11/2024,173.1523285,419.7600403,90.4594574,189.0500031,174.6000061
4/12/2024,174.6460876,413.8451538,88.03365326,186.1300049,171.0500031
4/15/2024,170.8276978,405.7428894,85.85241699,183.6199951,161.4799957
4/16/2024,167.5534058,406.6648865,87.26398468,183.3200073,157.1100006
4/17/2024,166.1882782,403.9772034,83.88983917,181.2799988,155.4499969
4/18/2024,165.2386322,396.5517578,84.52471924,179.2200012,149.9299927
4/19/2024,163.2206421,391.500061,76.06835938,174.6300049,147.0500031
4/22/2024,164.0515442,393.3049316,79.38063049,177.2299957,142.0500031
4/23/2024,165.1001282,399.7887268,82.28060913,179.5399933,144.6799927
4/24/2024,167.1972656,401.2502747,79.53935242,176.5899963,162.1300049
4/25/2024,168.0578766,391.4216309,82.48925781,173.6699982,170.1799927
4/26/2024,167.4742584,398.5626221,87.58345795,179.6199951,168.2899933
4/29/2024,171.6289368,394.5703125,87.60540771,180.9600067,194.0500031
4/30/2024,168.4931793,381.8970032,86.25273895,175,183.2799988
5/1/2024,167.4742584,387.3999023,82.89754486,179,179.9900055
5/2/2024,171.1640472,390.2445068,85.66874695,184.7200012,180.0099945
5/3/2024,181.4024353,398.8961182,88.63561249,186.2100067,181.1900024
5/6/2024,179.7504425,405.6448059,91.9808197,188.6999969,184.7599945
5/7/2024,180.4329834,401.5249329,90.39756775,188.7599945,177.8099976
5/8/2024,180.7693329,402.7020874,90.25582123,188,174.7200012
5/9/2024,182.5795898,404.4480591,88.59369659,189.5,171.9700012
5/10/2024,181.321579,406.8218994,89.72273254,187.4799957,168.4700012
5/13/2024,184.5210876,405.8213501,90.242836,186.5700073,171.8899994
5/14/2024,185.660202,408.6071167,91.19818115,187.0700073,177.5500031
5/15/2024,187.9285889,415.7512207,94.46652985,185.9900055,173.9900055
5/16/2024,188.0474548,413.6973877,94.19599915,183.6300049,174.8399963
5/17/2024,188.077179,412.9308777,92.31924438,184.6999969,177.4600067
5/20/2024,189.2361145,417.9720764,94.61626434,183.5399933,174.9499969
5/21/2024,190.5337677,421.6079712,95.22122192,183.1499939,186.6000061
5/22/2024,189.0974426,423.0623169,94.7859726,183.1300049,180.1100006
5/23/2024,185.1154175,419.6032715,103.6196976,181.0500031,173.7400055
5/24/2024,188.1861267,422.7085266,106.2850723,180.75,179.2400055
5/28/2024,188.1960449,422.8658142,113.7042313,182.1499939,176.75
5/29/2024,188.4932098,421.7357178,114.6266403,182.0200043,176.1900024
5/30/2024,189.4837494,407.4869385,110.3091049,179.3200073,178.7899933
5/31/2024,190.4347076,407.9388733,109.4436111,176.4400024,178.0800018
6/3/2024,192.1978912,406.356781,114.8013458,178.3399963,176.2899933
6/4/2024,192.5148926,408.8625793,116.2358551,179.3399963,174.7700043
6/5/2024,194.0205078,416.6651001,122.2284851,181.2799988,175
6/6/2024,192.6436768,417.1662292,120.7889786,185,177.9400024
6/7/2024,195.030899,416.5079041,120.6791687,184.3000031,177.4799957
6/10/2024,191.2964935,420.4581909,121.5796127,187.0599976,173.7899933
